page,candidate_edges,selected_edges,graph_edges,detected_articles,precision,recall,fragmentation,incorrect_merges
1,109,69,69,58,0.0,0.0,0.0,0
2,121,80,80,55,0.0,0.0,0.0,0
1,109,3,3,124,0.0,0.0,0.0,0
1,109,60,60,67,0.0,0.0,0.0,0
2,121,61,61,74,0.0,0.0,0.0,0
1,109,65,65,62,0.0,0.0,0.0,0
2,121,82,82,53,0.0,0.0,0.0,0
3,128,82,82,56,0.0,0.0,0.0,0
1,109,65,65,62,0.0,0.0,0.0,0
2,121,82,82,53,0.0,0.0,0.0,0
3,128,82,82,56,0.0,0.0,0.0,0
1,109,46,46,81,0.0,0.0,0.0,0
2,121,53,53,82,0.0,0.0,0.0,0
3,128,61,61,77,0.0,0.0,0.0,0
1,109,46,46,81,0.0,0.0,0.0,0
1,109,46,46,81,0.0,0.0,0.0,0
1,109,46,46,81,0.0,0.0,0.0,0
2,121,53,53,82,0.0,0.0,0.0,0
3,128,61,61,77,0.0,0.0,0.0,0
1,109,46,46,81,0.0,0.0,0.0,0
2,121,53,53,82,0.0,0.0,0.0,0
3,128,61,61,77,0.0,0.0,0.0,0
1,109,46,46,81,0.0,0.0,0.0,0
2,121,53,53,82,0.0,0.0,0.0,0
3,128,61,61,77,0.0,0.0,0.0,0
1,109,51,51,76,0.0,0.0,0.0,0
2,121,55,55,80,0.0,0.0,0.0,0
3,128,66,66,72,0.0,0.0,0.0,0
1,109,51,51,76,0.0,0.0,0.0,0
2,121,55,55,80,0.0,0.0,0.0,0
3,128,66,66,72,0.0,0.0,0.0,0
1,109,51,51,76,0.0,0.0,0.0,0
2,121,55,55,80,0.0,0.0,0.0,0
3,128,66,66,72,0.0,0.0,0.0,0
1,109,51,51,76,0.0,0.0,0.0,0
2,121,55,55,80,0.0,0.0,0.0,0
3,128,66,66,72,0.0,0.0,0.0,0
1,109,51,51,76,0.0,0.0,0.0,0
2,121,55,55,80,0.0,0.0,0.0,0
3,128,66,66,72,0.0,0.0,0.0,0
1,109,50,50,77,0.0,0.0,0.0,0
2,121,55,55,80,0.0,0.0,0.0,0
3,128,66,66,72,0.0,0.0,0.0,0
1,109,49,49,78,0.0,0.0,0.0,0
2,121,56,56,79,0.0,0.0,0.0,0
3,128,49,49,89,0.0,0.0,0.0,0
1,109,51,51,76,0.0,0.0,0.0,0
2,121,69,69,66,0.0,0.0,0.0,0
3,128,74,74,64,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,54,0.0,0.0,0.0,0
3,128,74,74,50,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
3,128,74,74,49,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
3,128,74,74,49,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,54,0.0,0.0,0.0,0
3,128,74,74,50,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,54,0.0,0.0,0.0,0
3,128,74,74,50,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
3,128,74,74,49,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,54,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
3,128,74,74,49,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
3,128,74,74,49,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
3,128,74,74,49,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,54,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,53,0.0,0.0,0.0,0
3,128,74,74,49,0.0,0.0,0.0,0
1,109,51,51,68,0.0,0.0,0.0,0
2,121,69,69,54,0.0,0.0,0.0,0
3,128,74,74,50,0.0,0.0,0.0,0
